voltage_v,current_a,active_power_kw,reactive_power_kvar,load_demand_kwh,household_type,occupancy_level,appliance_usage_category,deviation_neighborhood_ratio,zero_consumption_flag,load_spike_flag,fraudulent,broader_zone,locality
229.3,24.45,4.92,0.72,5.56,Residential,2,High,1.13,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
228.45,56.91,10.2,1.43,10.9,Residential,90,Medium,0.95,0,0,0,Powai & Lakeside,Kanjurmarg
230.89,64.77,14.02,4.62,14.95,Industrial,268,Low,0.71,0,0,0,Western Suburbs,Juhu
227.06,52.14,7.95,1.75,9.16,Industrial,65,High,1.08,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
229.24,48.37,6.95,0.33,6.76,Residential,35,Low,1.18,0,0,0,Western Residential,Kandivali
225.55,69.79,15.7,4.94,17.69,Commercial,202,Medium,1.01,1,0,0,Industrial / Peripheral,Sewri
225.69,26.06,5.82,0.77,4.23,Commercial,142,Low,1.4,0,0,1,Thane & Beyond,Bhiwandi
227.97,52.21,10.48,1.52,10.19,Residential,2,High,0.55,0,0,1,Industrial / Peripheral,Taloja
230.14,12.4,4.23,1.25,3.91,Commercial,120,Low,1.01,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
228.76,15.27,3.63,0.65,4.76,Residential,21,Medium,1.37,0,0,0,Western Suburbs,Juhu
222.45,59.89,12.01,2.25,13.08,Residential,102,Medium,1.23,0,0,1,Industrial / Peripheral,Taloja
231.93,8.0,1.52,0.21,1.56,Residential,14,High,0.46,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
234.99,39.47,7.65,1.41,7.86,Residential,41,Medium,0.79,0,1,0,Industrial / Peripheral,Mankhurd
228.06,31.19,5.88,0.78,5.28,Residential,85,Low,1.33,0,0,1,Navi Mumbai / Panvel,Belapur
227.47,61.26,13.08,4.27,13.24,Commercial,179,Low,1.13,0,0,1,Industrial / Peripheral,Sewri
236.23,31.37,8.22,2.66,7.1,Residential,12,Medium,0.74,0,0,0,Western Suburbs,Juhu
224.08,29.45,4.22,1.6,4.67,Commercial,2,Medium,0.82,0,0,1,Thane & Beyond,Bhiwandi
232.08,23.66,3.28,1.4,3.63,Residential,10,Medium,1.29,0,0,0,Western Suburbs,Juhu
230.01,6.74,2.62,0.65,2.64,Residential,155,Medium,1.16,0,0,0,Western Suburbs,Santacruz
235.23,7.35,1.79,0.53,2.09,Commercial,24,High,0.91,0,0,0,Central Suburbs,Ghatkopar
229.37,47.86,10.01,0.48,7.15,Industrial,2,High,0.92,0,0,0,South Mumbai,Colaba
231.43,23.24,4.08,1.85,2.63,Residential,93,Low,1.35,0,0,1,Industrial / Peripheral,Dharavi
236.0,11.91,3.38,0.47,3.02,Residential,44,Medium,1.02,0,1,0,Navi Mumbai / Panvel,Kharghar
231.28,39.33,8.0,1.51,7.93,Residential,3,Medium,1.17,0,0,0,Powai & Lakeside,Kanjurmarg
223.55,8.22,1.66,0.56,1.95,Residential,93,Low,0.97,0,0,0,Western Residential,Malad
232.52,38.99,8.96,3.04,8.68,Commercial,23,Medium,1.16,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
231.98,43.54,8.55,2.03,4.27,Residential,84,Medium,0.81,0,0,0,Western Suburbs,Santacruz
239.8,64.28,12.21,2.42,13.01,Commercial,2,Low,0.75,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
227.84,53.83,10.6,2.95,11.5,Industrial,10,High,1.25,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
222.63,37.41,7.02,1.4,9.73,Residential,3,Medium,0.72,0,0,0,Central Suburbs,Sion
217.54,40.61,6.36,1.61,6.6,Residential,6,Low,1.2,0,0,0,Eastern Suburbs,Mulund
242.16,14.34,3.39,0.69,3.25,Residential,95,High,0.87,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
233.05,67.02,13.66,3.91,15.08,Residential,2,High,0.81,0,1,1,Navi Mumbai / Panvel,Airoli
231.81,19.53,3.77,0.62,4.24,Residential,2,Low,0.84,0,0,0,Powai & Lakeside,Powai
221.16,26.41,4.87,1.2,5.16,Commercial,98,High,0.65,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
225.57,55.44,12.29,3.46,11.59,Commercial,9,Medium,1.11,0,0,0,South Mumbai,Cuffe Parade
228.39,19.47,3.16,0.37,3.73,Residential,2,Low,1.25,0,0,1,Industrial / Peripheral,Trombay
226.3,68.0,14.05,4.61,15.08,Residential,133,Medium,0.62,0,0,1,Thane & Beyond,Dombivli
230.42,21.17,5.25,0.37,4.45,Residential,18,Medium,1.01,0,0,0,Western Suburbs,Juhu
240.02,57.71,11.45,2.19,9.05,Residential,6,Medium,1.28,0,0,0,Central Suburbs,Ghatkopar
219.09,24.1,5.56,2.38,6.91,Residential,36,High,1.07,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
229.62,18.07,4.22,1.27,6.28,Residential,108,Medium,1.2,0,0,1,Navi Mumbai / Panvel,Navi Mumbai
224.24,15.75,3.2,0.7,4.47,Commercial,8,Low,0.91,1,0,1,Navi Mumbai / Panvel,Navi Mumbai
234.19,46.36,10.21,2.18,12.18,Industrial,113,High,1.23,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
222.82,66.01,13.83,3.41,12.46,Residential,98,High,0.97,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
235.51,22.07,4.99,2.09,5.93,Residential,31,High,0.86,0,0,1,Navi Mumbai / Panvel,Vashi
224.12,59.06,11.67,2.08,11.7,Residential,22,Low,0.88,0,0,0,Western Suburbs,Juhu
231.23,24.61,5.66,1.87,4.0,Residential,66,Low,1.35,0,0,0,Western Residential,Borivali
228.84,6.96,1.39,0.92,1.34,Industrial,45,Medium,0.94,0,0,0,Western Suburbs,Khar
228.26,37.02,7.18,1.71,6.43,Residential,55,Low,0.93,0,0,0,Powai & Lakeside,Hiranandani Gardens
232.08,49.81,11.29,3.33,10.04,Residential,104,High,1.27,1,0,1,Navi Mumbai / Panvel,Belapur
233.84,43.74,8.2,2.3,6.75,Residential,15,Medium,0.86,0,0,0,Western Suburbs,Bandra West
229.69,53.4,9.31,1.99,7.75,Residential,13,High,0.66,0,0,0,South Mumbai,Malabar Hill
223.83,67.14,13.45,3.54,13.0,Residential,28,Medium,0.68,0,0,1,Navi Mumbai / Panvel,Vashi
229.11,66.84,14.21,4.12,14.06,Commercial,19,High,1.0,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
228.21,32.04,6.0,1.39,7.95,Residential,9,Medium,1.01,0,0,0,Western Suburbs,Bandra West
233.41,29.02,5.67,0.54,5.95,Commercial,30,High,1.21,0,0,1,Industrial / Peripheral,Sewri
237.79,38.05,7.68,1.05,6.72,Residential,189,Low,1.15,0,0,0,Eastern Suburbs,Ghatkopar
219.44,27.77,4.18,2.06,3.47,Residential,41,Medium,1.04,0,0,0,Central Suburbs,Kurla
221.95,65.72,11.4,2.3,9.89,Commercial,149,Low,0.92,0,0,1,Industrial / Peripheral,Mankhurd
232.65,22.86,7.19,1.96,8.98,Residential,2,Medium,1.04,0,0,0,Western Suburbs,Khar
228.8,33.41,5.76,0.64,7.9,Commercial,142,Medium,0.74,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
230.23,29.06,8.19,2.79,7.05,Residential,104,High,1.11,0,0,0,South Mumbai,Malabar Hill
221.99,66.29,13.68,3.53,15.04,Residential,26,Low,1.15,0,1,1,Navi Mumbai / Panvel,Navi Mumbai
233.42,45.63,7.62,2.17,7.56,Commercial,77,Low,1.28,0,1,0,Industrial / Peripheral,Mankhurd
223.16,22.07,6.07,1.95,3.69,Residential,67,High,1.07,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
228.96,34.93,6.02,1.23,5.21,Residential,9,Medium,0.84,0,0,0,Central Suburbs,Kurla
229.17,36.78,8.73,1.67,6.6,Industrial,11,High,1.11,0,0,0,Central Suburbs,Lower Parel
225.89,46.35,7.08,1.96,8.58,Commercial,188,High,1.17,0,0,0,Central Suburbs,Lower Parel
218.87,39.89,6.06,1.91,4.64,Residential,64,Medium,0.71,0,0,1,Industrial / Peripheral,Trombay
230.05,18.84,3.09,2.22,2.26,Residential,109,High,0.82,0,1,1,Thane & Beyond,Bhiwandi
226.75,18.6,3.33,0.33,4.28,Commercial,92,High,0.6,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
221.1,52.74,11.78,0.8,10.27,Residential,3,Medium,1.22,1,0,0,Navi Mumbai / Panvel,Belapur
227.35,67.02,14.34,3.63,14.67,Residential,82,Medium,0.93,0,1,0,Industrial / Peripheral,Taloja
232.21,56.67,10.89,2.09,10.05,Commercial,25,Medium,0.9,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
231.22,13.53,2.54,0.23,2.99,Industrial,18,Medium,1.22,0,0,0,Western Suburbs,Andheri East
227.04,48.8,11.17,3.63,12.38,Residential,27,Medium,0.93,0,0,0,Western Suburbs,Bandra West
233.6,41.28,8.62,1.24,7.72,Residential,50,Medium,1.17,0,0,0,Powai & Lakeside,Powai
226.13,42.05,7.07,1.41,8.65,Residential,10,High,0.97,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
234.26,57.37,12.88,4.69,12.83,Residential,30,Medium,1.01,0,0,0,Powai & Lakeside,Kanjurmarg
234.88,35.54,9.85,3.2,10.15,Residential,2,High,0.96,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
233.26,12.7,2.76,0.46,3.01,Residential,5,Medium,1.01,0,0,0,Western Suburbs,Andheri West
225.28,25.62,4.02,0.36,3.72,Residential,42,Medium,0.74,0,0,0,Central Suburbs,Ghatkopar
225.98,7.16,1.42,0.95,2.1,Residential,2,Low,1.11,0,0,0,Eastern Suburbs,Bhandup
223.76,8.19,1.82,0.16,1.31,Residential,2,Medium,1.14,1,0,1,Industrial / Peripheral,Trombay
234.3,7.43,1.66,0.64,2.54,Commercial,199,High,0.91,0,0,0,South Mumbai,Cuffe Parade
233.44,41.28,6.76,0.83,7.45,Commercial,5,Low,0.91,0,0,1,Industrial / Peripheral,Dharavi
238.8,60.62,13.72,3.41,11.65,Residential,12,Low,0.8,0,1,0,Thane & Beyond,Thane
225.45,37.67,8.6,0.66,9.71,Residential,42,Low,1.05,0,0,0,Western Suburbs,Khar
232.7,64.62,13.72,4.42,14.59,Industrial,23,Low,1.09,1,0,0,Industrial / Peripheral,Dharavi
235.54,25.59,3.54,2.23,3.87,Commercial,6,Medium,1.12,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
222.79,12.05,2.35,1.56,2.75,Residential,6,Medium,0.71,0,0,0,Western Suburbs,Bandra West
233.66,9.27,3.13,0.3,2.78,Residential,129,High,1.08,0,0,1,Industrial / Peripheral,Dharavi
222.59,35.72,6.83,3.89,8.92,Residential,204,Low,0.88,0,0,0,Western Suburbs,Andheri East
235.01,22.47,3.02,2.1,3.04,Residential,4,Medium,0.98,0,1,0,Industrial / Peripheral,Mankhurd
230.72,19.62,3.05,0.51,3.98,Commercial,2,High,0.91,0,1,1,Navi Mumbai / Panvel,Navi Mumbai
227.08,8.55,2.1,0.4,1.64,Industrial,16,Medium,0.85,0,0,0,Powai & Lakeside,Kanjurmarg
226.83,48.37,8.11,2.91,7.1,Residential,219,High,1.06,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
229.48,14.92,3.34,0.89,5.73,Commercial,2,Medium,0.76,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
227.61,12.74,2.39,0.22,1.94,Residential,79,Medium,0.78,0,0,0,Western Suburbs,Santacruz
226.79,63.72,11.85,2.31,10.87,Commercial,2,Medium,1.1,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
240.11,10.71,3.4,2.6,2.97,Residential,2,High,1.22,0,0,0,Central Suburbs,Dadar
228.81,33.52,8.32,1.26,5.54,Residential,2,High,0.84,0,0,1,Industrial / Peripheral,Taloja MIDC
238.2,11.55,2.67,0.74,2.65,Commercial,3,Medium,1.16,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
223.28,46.3,10.08,1.48,9.52,Residential,18,Low,0.85,0,0,1,Industrial / Peripheral,Taloja
231.75,51.23,11.37,1.94,11.98,Residential,2,Medium,0.82,0,0,0,Western Suburbs,Andheri East
233.16,27.02,5.32,2.02,4.67,Commercial,3,Medium,1.08,0,0,1,Thane & Beyond,Thane
229.16,20.41,3.78,0.5,3.9,Industrial,60,Low,0.96,0,0,1,Industrial / Peripheral,Dharavi
236.3,50.72,10.71,2.68,10.46,Commercial,153,High,0.71,0,0,1,Industrial / Peripheral,Taloja
217.27,23.24,5.02,0.94,4.81,Commercial,4,High,1.1,0,0,0,South Mumbai,Girgaon
232.61,67.8,15.09,4.09,16.81,Commercial,135,Medium,0.79,0,1,0,Industrial / Peripheral,Taloja MIDC
223.59,19.09,4.62,1.54,4.45,Commercial,12,High,1.06,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
227.22,61.93,11.79,3.1,13.36,Commercial,2,High,1.03,0,0,0,South Mumbai,Girgaon
228.86,9.23,2.15,0.55,2.47,Residential,3,Medium,0.87,0,1,0,Industrial / Peripheral,Taloja
226.52,9.08,1.73,0.69,2.23,Residential,223,High,1.17,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
222.36,68.37,14.85,4.71,14.98,Residential,112,High,0.69,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
223.67,38.44,7.81,1.06,7.07,Residential,19,Medium,0.73,0,0,0,Central Suburbs,Ghatkopar
220.24,18.35,3.89,0.96,3.53,Industrial,21,High,1.06,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
233.95,25.56,5.54,1.98,8.9,Commercial,7,High,1.01,0,0,1,Industrial / Peripheral,Sewri
221.72,53.64,10.23,1.8,10.24,Commercial,2,Medium,0.87,1,0,0,Thane & Beyond,Thane
234.62,52.64,10.31,2.25,11.2,Residential,144,Medium,1.07,0,0,0,Central Suburbs,Dadar
233.65,51.78,9.58,1.14,7.21,Residential,12,High,1.22,0,0,0,Central Suburbs,Sion
226.29,28.25,5.47,0.85,5.34,Commercial,3,High,0.79,0,1,0,Industrial / Peripheral,Sewri
232.07,9.18,2.1,0.43,3.32,Commercial,114,Low,1.22,0,0,1,Navi Mumbai / Panvel,Navi Mumbai
222.83,60.71,10.93,2.19,9.79,Residential,168,Medium,1.02,0,0,0,Powai & Lakeside,Hiranandani Gardens
231.3,51.86,13.3,4.04,11.45,Industrial,4,High,1.2,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
226.98,54.09,12.4,3.73,10.7,Commercial,2,Medium,0.96,0,0,1,Navi Mumbai / Panvel,Navi Mumbai
232.85,46.54,9.9,2.51,8.78,Residential,2,High,1.1,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Bandra Kurla Complex
227.07,62.32,12.68,3.97,14.2,Industrial,131,Low,1.1,0,1,0,Thane & Beyond,Dombivli
235.89,16.7,6.15,3.17,6.43,Residential,3,Low,1.03,0,0,1,Industrial / Peripheral,Sewri
233.69,38.95,9.95,2.16,11.98,Residential,65,Low,1.08,0,0,0,Western Suburbs,Juhu
228.56,25.79,4.91,2.2,6.1,Residential,54,Medium,1.25,0,0,0,Western Suburbs,Bandra West
235.81,40.53,8.68,1.43,7.02,Residential,2,High,0.91,1,0,0,Industrial / Peripheral,Dharavi
220.22,14.85,3.38,0.71,3.45,Commercial,59,Medium,0.8,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
237.87,38.79,5.65,2.03,7.46,Commercial,125,Medium,1.26,0,0,0,South Mumbai,Colaba
222.28,50.38,9.88,3.21,10.46,Residential,30,Medium,1.02,0,0,0,Western Suburbs,Khar
229.08,54.25,11.23,4.19,10.24,Residential,2,Low,1.13,0,0,1,Industrial / Peripheral,Mankhurd
234.53,37.76,7.7,2.51,11.08,Commercial,86,Medium,1.12,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
225.25,15.16,3.01,1.09,3.95,Residential,2,Low,1.22,0,0,0,Powai & Lakeside,Powai
235.66,8.27,2.21,1.19,2.39,Residential,55,High,0.77,0,1,0,Industrial / Peripheral,Dharavi
233.45,16.14,3.63,1.72,3.75,Residential,6,Low,1.09,0,0,0,Western Residential,Kandivali East
229.1,30.25,7.25,1.16,4.0,Industrial,6,Medium,1.07,0,0,1,Industrial / Peripheral,Mankhurd
227.24,45.54,9.49,2.72,6.22,Residential,60,High,1.06,0,0,0,Central Suburbs,Kurla
235.12,22.73,4.69,1.15,3.4,Residential,2,Medium,0.99,0,0,0,Western Suburbs,Bandra East
243.84,5.52,1.48,0.49,2.36,Residential,4,Low,0.48,0,0,0,Eastern Suburbs,Vikhroli
222.67,64.71,13.16,2.78,13.51,Residential,13,Medium,0.96,0,0,1,Navi Mumbai / Panvel,Belapur
232.96,19.44,6.6,0.49,4.94,Commercial,5,Medium,0.98,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
232.87,40.08,8.87,0.94,10.33,Industrial,2,Medium,1.07,0,0,0,Western Suburbs,Santacruz
225.78,59.29,12.02,3.98,13.08,Commercial,7,Medium,0.88,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
236.09,47.22,9.1,1.79,9.36,Residential,63,Medium,1.03,0,0,0,Powai & Lakeside,Powai
234.34,59.31,10.86,1.03,11.0,Commercial,19,Low,1.22,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
235.91,56.67,12.52,3.58,12.64,Residential,4,Medium,0.79,0,0,0,Western Suburbs,Khar
236.19,20.24,5.28,0.69,4.38,Residential,135,Medium,0.74,0,0,1,Industrial / Peripheral,Taloja
225.06,6.98,1.41,0.17,1.34,Commercial,279,Medium,0.98,0,0,0,Central Suburbs,Sion
235.19,58.61,13.47,4.36,15.1,Commercial,3,Low,0.63,0,0,0,Central Suburbs,Sion
219.96,67.08,14.66,4.73,16.32,Residential,52,High,1.04,0,0,1,Navi Mumbai / Panvel,Kharghar
229.7,29.64,5.97,2.1,5.07,Industrial,83,Medium,1.38,0,0,1,Navi Mumbai / Panvel,Belapur
233.77,35.1,6.63,1.66,7.64,Residential,53,Medium,1.03,0,0,0,Western Suburbs,Andheri West
223.85,64.08,13.28,3.13,11.53,Residential,12,High,0.5,0,0,0,Central Suburbs,Dadar
222.93,6.6,1.47,0.24,1.66,Industrial,276,Medium,1.01,0,0,1,Industrial / Peripheral,Trombay
226.06,62.01,11.02,2.88,9.07,Residential,2,High,0.79,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
230.09,43.77,6.66,2.32,6.39,Residential,53,Low,0.78,0,1,1,Industrial / Peripheral,Dharavi
235.03,62.5,13.19,4.53,14.01,Residential,72,Medium,0.66,0,0,0,Powai & Lakeside,Hiranandani Gardens
229.77,28.15,5.29,0.34,5.2,Residential,273,Medium,1.12,0,0,0,Powai & Lakeside,Powai
236.14,64.98,13.66,3.3,15.36,Residential,9,Medium,1.36,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
226.88,57.44,12.72,1.67,14.0,Commercial,3,Medium,1.17,0,0,1,Industrial / Peripheral,Taloja MIDC
235.1,39.6,6.83,1.45,5.93,Residential,20,Low,1.09,0,0,0,Western Residential,Kandivali
234.6,55.45,11.66,2.13,10.59,Residential,16,Medium,0.77,0,0,0,Central Suburbs,Kurla
228.63,62.94,12.18,3.52,12.19,Industrial,44,High,0.93,0,0,1,Industrial / Peripheral,Sewri
225.74,14.94,4.97,1.07,5.6,Industrial,39,Medium,1.04,0,0,0,Powai & Lakeside,Hiranandani Gardens
235.87,10.18,3.34,0.61,4.22,Residential,2,High,0.9,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
223.02,42.53,8.68,3.04,9.28,Commercial,4,Low,0.95,0,0,1,Navi Mumbai / Panvel,Vashi
231.24,55.17,11.18,1.15,10.0,Residential,2,High,0.88,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Nariman Point
229.73,40.95,8.81,1.9,8.95,Residential,2,Medium,0.65,0,0,0,Central Suburbs,Kurla
223.48,32.89,5.19,0.5,5.65,Residential,115,High,1.3,0,0,1,Industrial / Peripheral,Trombay
231.75,46.75,11.35,2.93,11.42,Industrial,20,High,0.95,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Cuffe Parade
239.47,5.57,1.4,0.33,1.43,Residential,35,Medium,0.93,0,0,0,Powai & Lakeside,Powai
225.49,27.09,7.86,2.06,6.85,Commercial,12,Medium,0.97,0,1,1,Navi Mumbai / Panvel,Navi Mumbai
222.12,25.29,4.72,0.49,3.92,Residential,47,Medium,1.16,0,0,1,Thane & Beyond,Kalyan
225.9,45.64,9.64,2.65,9.96,Industrial,3,Medium,0.89,0,0,0,Western Suburbs,Santacruz
239.33,36.38,6.95,1.69,7.51,Commercial,221,High,0.69,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
226.78,19.2,5.27,1.32,5.46,Commercial,17,Medium,0.9,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,Lower Parel
229.9,56.6,11.67,2.67,10.34,Residential,61,Medium,0.88,0,0,0,Powai & Lakeside,Powai
228.32,67.91,13.79,2.04,14.46,Residential,34,Medium,1.0,0,0,0,Powai & Lakeside,Powai
238.04,20.41,5.29,0.75,5.03,Residential,78,High,1.32,1,0,0,Navi Mumbai / Panvel,Vashi
234.21,47.5,10.98,2.49,8.41,Residential,2,Medium,1.07,0,0,0,Western Suburbs,Andheri West
235.37,12.81,3.25,0.73,2.41,Industrial,61,Low,1.09,0,0,0,Western Residential,Kandivali East
236.58,7.88,1.92,0.21,2.24,Residential,85,High,1.07,0,0,1,Navi Mumbai / Panvel,Vashi
224.32,50.58,7.6,3.05,7.47,Residential,20,Low,1.12,0,1,0,Navi Mumbai / Panvel,Kharghar
220.5,17.52,3.0,0.41,3.21,Residential,40,High,0.91,0,0,0,Bandra Kurla Complex (BKC) / Business Hubs,BKC
226.67,19.37,3.5,0.38,2.63,Residential,2,Medium,0.83,0,0,0,Central Suburbs,Dadar
226.25,45.42,9.74,2.32,7.61,Industrial,208,Medium,0.95,0,0,0,Powai & Lakeside,Powai
237.1,14.82,3.75,1.3,4.01,Residential,3,Medium,0.92,0,0,0,Powai & Lakeside,Kanjurmarg
226.7,31.92,7.69,1.43,6.56,Industrial,25,Medium,1.11,0,0,1,Thane & Beyond,Bhiwandi
221.03,52.37,10.44,3.42,10.83,Residential,6,Low,0.78,0,0,0,Western Suburbs,Bandra West
231.95,47.7,10.47,4.08,8.61,Industrial,99,Low,0.87,0,0,0,Powai & Lakeside,Kanjurmarg
230.9,8.96,2.51,1.08,3.69,Commercial,61,Medium,0.98,0,0,0,South Mumbai,Girgaon
233.27,10.2,2.56,0.42,2.12,Residential,2,Medium,1.04,0,0,1,Industrial / Peripheral,Taloja MIDC
238.37,38.02,7.39,1.22,8.36,Residential,3,Medium,0.54,0,0,0,Powai & Lakeside,Kanjurmarg
223.51,22.95,6.19,1.27,5.14,Residential,142,High,1.04,0,0,1,Industrial / Peripheral,Taloja
228.93,25.05,4.63,2.45,4.89,Residential,58,Low,0.91,0,0,0,Eastern Suburbs,Bhandup
225.86,15.9,3.0,1.45,3.99,Commercial,8,Low,0.83,0,0,0,Central Suburbs,Ghatkopar
